Query,Language,Intent,Response,Symptom,Condition,Recommendation (Condition),Age,Gender,Health Condition
How can I reduce my risk of heart disease?,English,recommendation_for_hypertension,"Maintain a healthy weight, follow a heart-healthy diet, and engage in regular exercise.",Chest pain,hypertension,Avoid processed foods and include omega-3-rich sources like salmon.,50.0,Male,hypertension
මට රුධිර සීනි මනාලනය සඳහා උපකාර අවශ්‍යයි.,Sinhala,help_request_for_diabetes,"රුධිර සීනි මනාලනය සඳහා, අඩු ග්ලයිසෙමික ආහාර සහ නිතර ආහාර වේලක් භාවිතා කරන්න.",Frequent urination,diabetes,Balance meals with green leafy vegetables and whole grains.,45.0,Female,diabetes
How can I prevent both diabetes and hypertension?,English,recommendation_for_both,"Follow a balanced diet low in salt and sugar, exercise regularly, and maintain a healthy weight.",Fatigue,diabetes_and_hypertension,Avoid processed snacks and stay consistent with physical activity.,55.0,Female,both
මට අධි රුධිර පීඩනය සඳහා ව්‍යායාම උපදෙස් අවශ්‍යයි.,Sinhala,help_request_for_hypertension,"අධි රුධිර පීඩනය සඳහා, පයහරිනු සහ සෙරීස් වැනි මෘදු ව්‍යායාම ක්‍රම භාවිතා කරන්න.",Headache,hypertension,Engage in moderate physical activities for at least 30 minutes daily.,40.0,Male,hypertension
How can I prevent diabetes naturally?,English,recommendation_for_diabetes,"Eat a balanced diet, exercise regularly, and maintain a healthy weight.",Frequent urination,diabetes,"Avoid sugary foods and include whole grains, lean proteins, and vegetables.",45.0,Male,diabetes
මට අධි රුධිර පීඩනය සඳහා උපදෙස් ලබාදෙන්න.,Sinhala,help_request_for_hypertension,අධි රුධිර පීඩනය සඳහා අඩු ලවණ සහ පෝෂ්‍ය ආහාර භාවිතා කරන්න.,Headache,hypertension,Include potassium-rich foods like bananas and avoid high-sodium snacks.,50.0,Female,hypertension
What foods help control blood sugar levels?,English,food_advice_for_diabetes,"Foods like oats, leafy greens, and lean proteins help stabilize blood sugar levels.",Frequent urination,diabetes,"Avoid sugary drinks and eat smaller, frequent meals to maintain balance.",40.0,Male,diabetes
මට ආහාර සෞඛ්‍යය සඳහා උපකාර අවශ්‍යයි.,Sinhala,help_request_for_both,"ආහාර සෞඛ්‍යය සඳහා, ග්ලූකෝස් අඩු සහ පෝෂ්‍ය ආහාර භාවිතා කරන්න.",Frequent urination,diabetes_and_hypertension,"Balance meals with whole grains, leafy greens, and lean proteins.",55.0,Male,both
How can I improve my heart health?,English,recommendation_for_hypertension,"Engage in regular aerobic exercise, eat a heart-healthy diet, and avoid smoking.",Chest discomfort,hypertension,Include omega-3-rich foods like salmon and avoid processed or fried items.,60.0,Female,hypertension
මට දියවැඩියාව සඳහා ආහාර වේලක් සැලසුම් කරන්න.,Sinhala,food_advice_for_diabetes,"දියවැඩියාව සඳහා ග්ලූකෝස් අඩු සහ ශාක ආහාර, වගේම නිතර ආහාර වේලක් භාවිතා කරන්න.",Frequent urination,diabetes,Monitor blood sugar levels daily and eat fiber-rich foods.,45.0,Male,diabetes
What are early signs of hypertension?,English,diagnosis_inquiry_for_hypertension,"Early signs include frequent headaches, dizziness, and shortness of breath.",Dizziness,hypertension,Measure your blood pressure regularly and consult a healthcare provider.,50.0,Male,hypertension
මට ආහාර සෞඛ්‍යය සඳහා උපදෙස් ලබාදෙන්න.,Sinhala,help_request_for_both,"ආහාර සෞඛ්‍යය සඳහා, ශාක ආහාර සහ අඩු ලවණ ආහාර වේලක් භාවිතා කරන්න.",Frequent urination,diabetes_and_hypertension,"Include green leafy vegetables, low-sodium foods, and lean proteins.",40.0,Female,both
How can I manage both diabetes and high blood pressure?,English,recommendation_for_both,"Follow a balanced diet low in sugar and sodium, exercise daily, and monitor both blood pressure and sugar levels.",Fatigue,diabetes_and_hypertension,Avoid processed foods and include potassium and fiber-rich options.,55.0,Female,both
මට අධි රුධිර පීඩනය සඳහා ආහාර වේලක් සකසන්න.,Sinhala,food_advice_for_hypertension,අධි රුධිර පීඩනය සඳහා අඩු ලවණ සහ ග්ලූකෝස් අඩු ආහාර භාවිතා කරන්න.,Headache,hypertension,"Balance meals with leafy greens, oats, and low-fat dairy products.",50.0,Male,hypertension
How can I reduce stress to control hypertension?,English,recommendation_for_hypertension,"Practice mindfulness techniques like yoga and meditation, and engage in regular physical activity.",Headache,hypertension,Avoid caffeine and maintain a consistent sleep schedule to reduce stress levels.,40.0,Female,hypertension
මට දියවැඩියාව පාලනය සඳහා උපදෙස් ලබාදෙන්න.,Sinhala,help_request_for_diabetes,දියවැඩියාව පාලනය සඳහා අඩු ග්ලයිසෙමික ආහාර සහ නිතර ව්‍යායාම කරන්න.,Frequent urination,diabetes,"Monitor your blood sugar regularly and eat smaller, frequent meals.",50.0,Male,diabetes
What foods are best for lowering cholesterol?,English,food_advice_for_hypertension,"Include oats, fatty fish, nuts, and olive oil in your diet to lower cholesterol.",Chest pain,hypertension,Avoid trans fats and focus on plant-based fats like avocado.,45.0,Male,hypertension
මට ආහාර සෞඛ්‍යය සඳහා පෝෂණ උපදෙස් අවශ්‍යයි.,Sinhala,help_request_for_both,"ආහාර සෞඛ්‍යය සඳහා, ග්ලූකෝස් අඩු සහ ශාක පෝෂ්‍ය ආහාර භාවිතා කරන්න.",Frequent urination,diabetes_and_hypertension,"Balance meals with whole grains, leafy greens, and lean proteins.",55.0,Female,both
How can I avoid complications from diabetes?,English,recommendation_for_diabetes,"Keep blood sugar levels within target range, stay physically active, and attend regular check-ups with your doctor.",Frequent urination,diabetes,Avoid sugary foods and monitor blood sugar after meals.,40.0,Male,diabetes
මට අධි රුධිර පීඩනය සඳහා ආහාර වේලක් සකසන්න.,Sinhala,food_advice_for_hypertension,"අධි රුධිර පීඩනය සඳහා අඩු ලවණ ආහාර, වගේම කෙසෙල් සහ ඔට්ස් භාවිතා කරන්න.",Headache,hypertension,Include potassium-rich foods like bananas and limit processed foods.,50.0,Male,hypertension
What are symptoms of high blood sugar?,English,diagnosis_inquiry_for_diabetes,"Symptoms include frequent urination, excessive thirst, blurred vision, and fatigue.",Frequent urination,diabetes,Monitor your blood sugar levels and consult your doctor for testing.,45.0,Female,diabetes
මට මනෝවිද්‍යා ආතතිය අඩු කිරීමට උපදෙස් ලබාදෙන්න.,Sinhala,help_request_for_both,"මනෝවිද්‍යා ආතතිය අඩු කිරීමට ධ්‍යානය, සෙරීස් සහ හුස්ම වැඩි ක්‍රම භාවිතා කරන්න.",Fatigue,diabetes_and_hypertension,Maintain a consistent sleep schedule and practice regular mindfulness techniques.,60.0,Male,both
How can I reduce my risk of both diabetes and hypertension?,English,recommendation_for_both,"Maintain a low-sodium and low-sugar diet, engage in daily physical activity, and manage stress effectively.",Fatigue,diabetes_and_hypertension,"Focus on fresh, unprocessed foods and monitor your health metrics regularly.",55.0,Female,both
මට ආහාර සෞඛ්‍යය සඳහා උපකාර අවශ්‍යයි.,Sinhala,help_request_for_diabetes,"ආහාර සෞඛ්‍යය සඳහා, ග්ලූකෝස් අඩු සහ පෝෂ්‍යදායී ආහාර භාවිතා කරන්න.",Frequent urination,diabetes,Balance your meals with green vegetables and lean proteins.,45.0,Male,diabetes
How can I lower my blood sugar naturally?,English,recommendation_for_diabetes,"Monitor your blood sugar levels, exercise regularly, and eat a balanced diet with low glycemic index foods.",Frequent urination,diabetes,"Avoid sugary drinks and include whole grains, leafy greens, and lean proteins.",50.0,Male,diabetes
මට අධි රුධිර පීඩනය සඳහා උපකාර අවශ්‍යයි.,Sinhala,help_request_for_hypertension,"අධි රුධිර පීඩනය සඳහා, අඩු ලවණ සහ ග්ලූකෝස් අඩු ආහාර භාවිතා කරන්න.",Headache,hypertension,Engage in regular aerobic exercise and avoid processed foods.,55.0,Female,hypertension
What foods can help lower cholesterol levels?,English,food_advice_for_hypertension,"Foods like oats, fatty fish, nuts, and olive oil can help lower cholesterol levels.",Chest pain,high_cholesterol,Avoid trans fats and focus on healthy fats like avocados and walnuts.,60.0,Male,hypertension
මට දියවැඩියාව සඳහා ආහාර වේලක් සකසන්න.,Sinhala,food_advice_for_diabetes,දියවැඩියාව සඳහා ග්ලූකෝස් අඩු සහ ශාක ආහාර භාවිතා කරන්න.,Frequent urination,diabetes,"Include fiber-rich vegetables, whole grains, and lean proteins in your meals.",45.0,Male,diabetes
How does dehydration affect kidney health?,English,information_request,Dehydration reduces kidney function and increases the risk of kidney stones.,Flank pain,dehydration,Drink at least 8-10 glasses of water daily to stay hydrated.,40.0,Female,general
මට අධි රුධිර පීඩනය පාලනය සඳහා උපදෙස් දෙන්න.,Sinhala,help_request_for_hypertension,"අධි රුධිර පීඩනය පාලනය සඳහා, අඩු ලවණ සහ පෝෂ්‍යදායී ආහාර භාවිතා කරන්න.",Dizziness,hypertension,Include potassium-rich foods like bananas and avoid processed snacks.,50.0,Male,hypertension
What are early signs of type 2 diabetes?,English,diagnosis_inquiry_for_diabetes,"Early signs include excessive thirst, frequent urination, fatigue, and blurry vision.",Frequent urination,diabetes,Consult your doctor for blood sugar testing if you experience these symptoms.,45.0,Female,diabetes
මට ආහාර සෞඛ්‍යය සඳහා උපකාර අවශ්‍යයි.,Sinhala,help_request_for_both,"ආහාර සෞඛ්‍යය සඳහා ග්ලූකෝස් අඩු, අඩු ලවණ සහ පෝෂ්‍ය ආහාර භාවිතා කරන්න.",Fatigue,diabetes_and_hypertension,"Balance your meals with whole grains, green leafy vegetables, and lean proteins.",60.0,Male,both
How can I reduce my risk of heart disease?,English,recommendation_for_hypertension,"Maintain a healthy weight, eat a balanced diet, and engage in regular exercise.",Chest pain,heart_disease,Avoid processed foods and include omega-3-rich options like salmon.,50.0,Male,hypertension
මට රුධිර සීනි මනාලනය සඳහා උපදෙස් ලබාදෙන්න.,Sinhala,help_request_for_diabetes,"රුධිර සීනි මනාලනය සඳහා, ග්ලූකෝස් අඩු ආහාර සහ නිතර ආහාර වේලක් භාවිතා කරන්න.",Frequent urination,diabetes,Include fiber-rich options and avoid high-carb or sugary foods.,55.0,Female,diabetes
How can I control high blood pressure?,English,recommendation_for_hypertension,"Reduce sodium intake, engage in regular exercise, and manage stress effectively.",Headache,hypertension,Include potassium-rich foods like bananas and leafy greens in your diet.,50.0,Male,hypertension
මට ආහාර සෞඛ්‍යය සඳහා උපදෙස් ලබාදෙන්න.,Sinhala,help_request_for_both,ආහාර සෞඛ්‍යය සඳහා ග්ලූකෝස් අඩු සහ ශාක ආහාර භාවිතා කරන්න.,Frequent urination,diabetes_and_hypertension,"Balance meals with whole grains, vegetables, and lean proteins.",40.0,Female,both
What are common causes of fatigue?,English,information_request,"Causes include dehydration, poor sleep, anemia, and thyroid problems.",Fatigue,anemia,Include iron-rich foods in your diet and ensure adequate hydration.,35.0,Male,general
මට අධි රුධිර පීඩනය සඳහා උපකාර අවශ්‍යයි.,Sinhala,help_request_for_hypertension,"අධි රුධිර පීඩනය සඳහා, අඩු ලවණ ආහාර සහ නිතර ව්‍යායාමක් කරන්න.",Headache,hypertension,Avoid processed foods and monitor your blood pressure daily.,60.0,Female,hypertension
How can I manage stress to improve health?,English,recommendation,"Practice mindfulness, engage in physical activity, and maintain a regular sleep schedule.",Fatigue,stress,Spend time outdoors and practice deep breathing techniques.,45.0,Male,general
මට දියවැඩියාව සඳහා ආහාර වේලක් සැලසුම් කරන්න.,Sinhala,food_advice_for_diabetes,"දියවැඩියාව සඳහා, ග්ලූකෝස් අඩු සහ ප්‍රෝටීන් ආහාර භාවිතා කරන්න.",Frequent urination,diabetes,Avoid sugary drinks and eat fiber-rich foods like vegetables and oats.,50.0,Male,diabetes
What foods help reduce inflammation?,English,food_advice,"Foods like turmeric, ginger, salmon, and walnuts help reduce inflammation in the body.",Joint pain,arthritis,Include omega-3-rich foods and avoid processed snacks.,40.0,Female,general
මට ආහාර සෞඛ්‍යය සඳහා උපකාර අවශ්‍යයි.,Sinhala,help_request_for_both,ආහාර සෞඛ්‍යය සඳහා ග්ලූකෝස් අඩු සහ පෝෂ්‍ය ආහාර භාවිතා කරන්න.,Frequent urination,diabetes_and_hypertension,"Include fresh fruits, vegetables, and lean meats in your diet.",55.0,Male,both
How can I prevent diabetes complications?,English,recommendation_for_diabetes,"Maintain blood sugar levels, exercise regularly, and follow a healthy meal plan.",Frequent urination,diabetes,Monitor blood sugar closely and attend regular check-ups with your doctor.,45.0,Female,diabetes
මට අධි රුධිර පීඩනය සඳහා ආහාර වේලක් සකසන්න.,Sinhala,food_advice_for_hypertension,"අධි රුධිර පීඩනය සඳහා, අඩු ලවණ සහ පෝෂ්‍ය ආහාර භාවිතා කරන්න.",Headache,hypertension,"Include whole grains, leafy greens, and low-fat dairy in your diet.",50.0,Male,hypertension
How can I manage my diabetes effectively?,English,recommendation_for_diabetes,"Monitor your blood sugar levels regularly, follow a balanced diet, and exercise daily.",Frequent urination,diabetes,Avoid sugary drinks and eat fiber-rich vegetables and whole grains.,50.0,Male,diabetes
මට අධි රුධිර පීඩනය සඳහා උපකාර අවශ්‍යයි.,Sinhala,help_request_for_hypertension,අධි රුධිර පීඩනය සඳහා අඩු ලවණ ආහාර සහ නිතර ව්‍යායාමක් කරන්න.,Headache,hypertension,Include potassium-rich foods like bananas and avoid processed snacks.,55.0,Female,hypertension
What are early symptoms of kidney disease?,English,diagnosis_inquiry,"Symptoms include swelling in the legs, fatigue, and changes in urination patterns.",Swelling in legs,kidney_disease,Drink plenty of water and consult a nephrologist for further evaluation.,45.0,Male,general
මට ආහාර සෞඛ්‍යය සඳහා උපදෙස් ලබාදෙන්න.,Sinhala,help_request_for_both,"ආහාර සෞඛ්‍යය සඳහා, ග්ලූකෝස් අඩු සහ ශාක පෝෂ්‍ය ආහාර භාවිතා කරන්න.",Frequent urination,diabetes_and_hypertension,"Balance meals with whole grains, vegetables, and lean proteins.",50.0,Male,both
How can I lower my cholesterol levels?,English,recommendation_for_hypertension,"Eat a diet rich in whole grains, fatty fish, and nuts, and engage in regular physical activity.",Chest pain,high_cholesterol,Avoid trans fats and focus on healthy fats like avocado and olive oil.,60.0,Female,hypertension
මට දියවැඩියාව පාලනය සඳහා උපදෙස් අවශ්‍යයි.,Sinhala,help_request_for_diabetes,"දියවැඩියාව පාලනය සඳහා, අඩු ග්ලයිසෙමික ආහාර සහ නිතර ආහාර වේලක් භාවිතා කරන්න.",Frequent urination,diabetes,Monitor blood sugar levels daily and include lean proteins in your diet.,45.0,Male,diabetes
What are the benefits of exercise for diabetes?,English,information_request_for_diabetes,"Exercise helps improve insulin sensitivity, lowers blood sugar levels, and aids in weight management.",Fatigue,diabetes,Engage in aerobic activities like walking or cycling for at least 30 minutes daily.,40.0,Female,diabetes
මට අධි රුධිර පීඩනය සඳහා ආහාර වේලක් සකසන්න.,Sinhala,food_advice_for_hypertension,"අධි රුධිර පීඩනය සඳහා අඩු ලවණ ආහාර, වගේම පෝෂ්‍ය ආහාර භාවිතා කරන්න.",Headache,hypertension,Include potassium-rich foods like bananas and leafy greens in your diet.,55.0,Male,hypertension
How can I prevent both diabetes and hypertension?,English,recommendation_for_both,"Maintain a healthy weight, follow a low-sodium and low-sugar diet, and engage in regular exercise.",Fatigue,diabetes_and_hypertension,Monitor blood pressure and blood sugar regularly to prevent complications.,50.0,Female,both
මට ආහාර සෞඛ්‍යය සඳහා උපකාර අවශ්‍යයි.,Sinhala,help_request_for_both,"ආහාර සෞඛ්‍යය සඳහා, ශාක ආහාර සහ ප්‍රෝටීන් ආහාර භාවිතා කරන්න.",Frequent urination,diabetes_and_hypertension,"Balance meals with whole grains, lean meats, and fresh vegetables.",45.0,Male,both
How can I manage stress to improve health?,English,recommendation,"Practice mindfulness, exercise regularly, and maintain a consistent sleep routine.",Fatigue,stress,Spend time outdoors and engage in relaxing activities like yoga.,40.0,Male,general
මට ආහාර සෞඛ්‍යය සඳහා උපදෙස් ලබාදෙන්න.,Sinhala,help_request_for_both,"ආහාර සෞඛ්‍යය සඳහා, ග්ලූකෝස් අඩු සහ පෝෂ්‍ය ආහාර භාවිතා කරන්න.",Frequent urination,diabetes_and_hypertension,Balance meals with fiber-rich options like lentils and leafy greens.,50.0,Female,both
What are symptoms of uncontrolled diabetes?,English,diagnosis_inquiry_for_diabetes,"Symptoms include excessive thirst, frequent urination, blurry vision, and fatigue.",Frequent urination,diabetes,Consult your doctor for adjustments to your treatment plan if symptoms persist.,45.0,Male,diabetes
